path,name,budget
/US FEDERAL GOVERNMENT/[budget] Department of Housing and Urban Development (25)/[budget] Office of Lead Hazard Control and Healthy Homes (25-32),[budget] Office of Lead Hazard Control and Healthy Homes (25-32),"{'budget_level': 'bureau', 'agency_code': 25, 'agency_name': 'Department of Housing and Urban Development', 'bureau_code': 32, 'bureau_name': 'Office of Lead Hazard Control and Healthy Homes', '2019': 95000, '2020': 81000, '2021': 90000, '2022': 115000, '2023': 200000, '2024': 318000, 'name': 'Office of Lead Hazard Control and Healthy Homes', 'id': '25-32'}"
/US FEDERAL GOVERNMENT/[budget] National Archives and Records Administration (393),[budget] National Archives and Records Administration (393),"{'budget_level': 'agency', 'agency_code': 393, 'agency_name': 'National Archives and Records Administration', '2019': 361000, '2020': 416000, '2021': 387000, '2022': 400000, '2023': 439000, '2024': 543000, 'name': 'National Archives and Records Administration', 'id': '393'}"
/US FEDERAL GOVERNMENT/[budget] National Archives and Records Administration (393)/[budget] National Archives and Records Administration (393-0),[budget] National Archives and Records Administration (393-0),"{'budget_level': 'bureau', 'agency_code': 393, 'agency_name': 'National Archives and Records Administration', 'bureau_code': 0, 'bureau_name': 'National Archives and Records Administration', '2019': 361000, '2020': 416000, '2021': 387000, '2022': 400000, '2023': 439000, '2024': 543000, 'name': 'National Archives and Records Administration', 'id': '393-0'}"
/US FEDERAL GOVERNMENT/[budget] National Archives and Records Administration (393)/[budget] National Archives and Records Administration (393-0)/[budget] Office of the Inspector General--National Archives and Records Administration (393-0-305),[budget] Office of the Inspector General--National Archives and Records Administration (393-0-305),"{'budget_level': 'account', 'agency_code': 393, 'agency_name': 'National Archives and Records Administration', 'bureau_code': 0, 'bureau_name': 'National Archives and Records Administration', 'account_code': 305, 'account_name': 'Office of the Inspector General--National Archives and Records Administration', '2019': 4000, '2020': 5000, '2021': 5000, '2022': 5000, '2023': 6000, '2024': 6000, 'name': 'Office of the Inspector General--National Archives and Records Administration', 'id': '393-0-305'}"
/US FEDERAL GOVERNMENT/[budget] National Archives and Records Administration (393)/[budget] National Archives and Records Administration (393-0)/[budget] National Historical Publications and Records Commission (393-0-301),[budget] National Historical Publications and Records Commission (393-0-301),"{'budget_level': 'account', 'agency_code': 393, 'agency_name': 'National Archives and Records Administration', 'bureau_code': 0, 'bureau_name': 'National Archives and Records Administration', 'account_code': 301, 'account_name': 'National Historical Publications and Records Commission', '2019': 5000, '2020': 6000, '2021': 6000, '2022': 6000, '2023': 17000, '2024': 27000, 'name': 'National Historical Publications and Records Commission', 'id': '393-0-301'}"
/US FEDERAL GOVERNMENT/[budget] Corps of Engineers--Civil Works (202),[budget] Corps of Engineers--Civil Works (202),"{'budget_level': 'agency', 'agency_code': 202, 'agency_name': 'Corps of Engineers--Civil Works', '2019': 6458000, '2020': 7632000, '2021': 7934000, '2022': 8182000, '2023': 8286000, '2024': 8306000, 'name': 'Corps of Engineers--Civil Works', 'id': '202'}"
/US FEDERAL GOVERNMENT/[budget] Corps of Engineers--Civil Works (202)/[budget] Corps of Engineers--Civil Works (202-0),[budget] Corps of Engineers--Civil Works (202-0),"{'budget_level': 'bureau', 'agency_code': 202, 'agency_name': 'Corps of Engineers--Civil Works', 'bureau_code': 0, 'bureau_name': 'Corps of Engineers--Civil Works', '2019': 6458000, '2020': 7632000, '2021': 7934000, '2022': 8182000, '2023': 8286000, '2024': 8306000, 'name': 'Corps of Engineers--Civil Works', 'id': '202-0'}"
/US FEDERAL GOVERNMENT/[budget] Corps of Engineers--Civil Works (202)/[budget] Corps of Engineers--Civil Works (202-0)/[budget] Regulatory Program (202-0-3126),[budget] Regulatory Program (202-0-3126),"{'budget_level': 'account', 'agency_code': 202, 'agency_name': 'Corps of Engineers--Civil Works', 'bureau_code': 0, 'bureau_name': 'Corps of Engineers--Civil Works', 'account_code': 3126, 'account_name': 'Regulatory Program', '2019': 204000, '2020': 206000, '2021': 205000, '2022': 208000, '2023': 207000, '2024': 207000, 'name': 'Regulatory Program', 'id': '202-0-3126'}"
/US FEDERAL GOVERNMENT/[budget] Corps of Engineers--Civil Works (202)/[budget] Corps of Engineers--Civil Works (202-0)/[budget] Water Infrastructure Finance and Innovation Program (202-0-3139),[budget] Water Infrastructure Finance and Innovation Program (202-0-3139),"{'budget_level': 'account', 'agency_code': 202, 'agency_name': 'Corps of Engineers--Civil Works', 'bureau_code': 0, 'bureau_name': 'Corps of Engineers--Civil Works', 'account_code': 3139, 'account_name': 'Water Infrastructure Finance and Innovation Program', '2019': 0, '2020': 0, '2021': 0, '2022': 2000, '2023': 1000, '2024': 1000, 'name': 'Water Infrastructure Finance and Innovation Program', 'id': '202-0-3139'}"
/US FEDERAL GOVERNMENT/[budget] Corps of Engineers--Civil Works (202)/[budget] Corps of Engineers--Civil Works (202-0)/[budget] Office of the Assistant Secretary of the Army for Civil Works (202-0-3132),[budget] Office of the Assistant Secretary of the Army for Civil Works (202-0-3132),"{'budget_level': 'account', 'agency_code': 202, 'agency_name': 'Corps of Engineers--Civil Works', 'bureau_code': 0, 'bureau_name': 'Corps of Engineers--Civil Works', 'account_code': 3132, 'account_name': 'Office of the Assistant Secretary of the Army for Civil Works', '2019': 4000, '2020': 5000, '2021': 4000, '2022': 5000, '2023': 5000, '2024': 5000, 'name': 'Office of the Assistant Secretary of the Army for Civil Works', 'id': '202-0-3132'}"
/US FEDERAL GOVERNMENT/[budget] Corps of Engineers--Civil Works (202)/[budget] Corps of Engineers--Civil Works (202-0)/[budget] Formerly Utilized Sites Remedial Action Program (202-0-3130),[budget] Formerly Utilized Sites Remedial Action Program (202-0-3130),"{'budget_level': 'account', 'agency_code': 202, 'agency_name': 'Corps of Engineers--Civil Works', 'bureau_code': 0, 'bureau_name': 'Corps of Engineers--Civil Works', 'account_code': 3130, 'account_name': 'Formerly Utilized Sites Remedial Action Program', '2019': 135000, '2020': 161000, '2021': 168000, '2022': 174000, '2023': 168000, '2024': 170000, 'name': 'Formerly Utilized Sites Remedial Action Program', 'id': '202-0-3130'}"
/US FEDERAL GOVERNMENT/[budget] Federal Maritime Commission (366),[budget] Federal Maritime Commission (366),"{'budget_level': 'agency', 'agency_code': 366, 'agency_name': 'Federal Maritime Commission', '2019': 27000, '2020': 27000, '2021': 30000, '2022': 29000, '2023': 40000, '2024': 44000, 'name': 'Federal Maritime Commission', 'id': '366'}"
/US FEDERAL GOVERNMENT/[budget] Federal Maritime Commission (366)/[budget] Federal Maritime Commission (366-0),[budget] Federal Maritime Commission (366-0),"{'budget_level': 'bureau', 'agency_code': 366, 'agency_name': 'Federal Maritime Commission', 'bureau_code': 0, 'bureau_name': 'Federal Maritime Commission', '2019': 27000, '2020': 27000, '2021': 30000, '2022': 29000, '2023': 40000, '2024': 44000, 'name': 'Federal Maritime Commission', 'id': '366-0'}"
/US FEDERAL GOVERNMENT/[budget] National Railroad Passenger Corporation Office of Inspector General (575),[budget] National Railroad Passenger Corporation Office of Inspector General (575),"{'budget_level': 'agency', 'agency_code': 575, 'agency_name': 'National Railroad Passenger Corporation Office of Inspector General', '2019': 24000, '2020': 23000, '2021': 24000, '2022': 26000, '2023': 31000, '2024': 30000, 'name': 'National Railroad Passenger Corporation Office of Inspector General', 'id': '575'}"
/US FEDERAL GOVERNMENT/[budget] National Railroad Passenger Corporation Office of Inspector General (575)/[budget] National Railroad Passenger Corporation Office of Inspector General (575-0),[budget] National Railroad Passenger Corporation Office of Inspector General (575-0),"{'budget_level': 'bureau', 'agency_code': 575, 'agency_name': 'National Railroad Passenger Corporation Office of Inspector General', 'bureau_code': 0, 'bureau_name': 'National Railroad Passenger Corporation Office of Inspector General', '2019': 24000, '2020': 23000, '2021': 24000, '2022': 26000, '2023': 31000, '2024': 30000, 'name': 'National Railroad Passenger Corporation Office of Inspector General', 'id': '575-0'}"
/US FEDERAL GOVERNMENT/[budget] Judicial Branch (2),[budget] Judicial Branch (2),"{'budget_level': 'agency', 'agency_code': 2, 'agency_name': 'Judicial Branch', '2019': 7988000, '2020': 8251000, '2021': 8312000, '2022': 8726000, '2023': 9101000, '2024': 10220000, 'name': 'Judicial Branch', 'id': '2'}"
/US FEDERAL GOVERNMENT/[budget] Judicial Branch (2)/[budget] United States Sentencing Commission (2-39),[budget] United States Sentencing Commission (2-39),"{'budget_level': 'bureau', 'agency_code': 2, 'agency_name': 'Judicial Branch', 'bureau_code': 39, 'bureau_name': 'United States Sentencing Commission', '2019': 18000, '2020': 19000, '2021': 20000, '2022': 21000, '2023': 25000, '2024': 23000, 'name': 'United States Sentencing Commission', 'id': '2-39'}"
/US FEDERAL GOVERNMENT/[budget] Judicial Branch (2)/[budget] Federal Judicial Center (2-30),[budget] Federal Judicial Center (2-30),"{'budget_level': 'bureau', 'agency_code': 2, 'agency_name': 'Judicial Branch', 'bureau_code': 30, 'bureau_name': 'Federal Judicial Center', '2019': 30000, '2020': 27000, '2021': 27000, '2022': 30000, '2023': 35000, '2024': 35000, 'name': 'Federal Judicial Center', 'id': '2-30'}"
/US FEDERAL GOVERNMENT/[budget] Judicial Branch (2)/[budget] United States Court of International Trade (2-15),[budget] United States Court of International Trade (2-15),"{'budget_level': 'bureau', 'agency_code': 2, 'agency_name': 'Judicial Branch', 'bureau_code': 15, 'bureau_name': 'United States Court of International Trade', '2019': 21000, '2020': 25000, '2021': 21000, '2022': 24000, '2023': 24000, '2024': 25000, 'name': 'United States Court of International Trade', 'id': '2-15'}"
/US FEDERAL GOVERNMENT/[budget] Judicial Branch (2)/[budget] Supreme Court of the United States (2-5),[budget] Supreme Court of the United States (2-5),"{'budget_level': 'bureau', 'agency_code': 2, 'agency_name': 'Judicial Branch', 'bureau_code': 5, 'bureau_name': 'Supreme Court of the United States', '2019': 97000, '2020': 99000, '2021': 106000, '2022': 124000, '2023': 150000, '2024': 152000, 'name': 'Supreme Court of the United States', 'id': '2-5'}"
"/US FEDERAL GOVERNMENT/[budget] Judicial Branch (2)/[budget] Courts of Appeals, District Courts, and Other Judicial Services (2-25)","[budget] Courts of Appeals, District Courts, and Other Judicial Services (2-25)","{'budget_level': 'bureau', 'agency_code': 2, 'agency_name': 'Judicial Branch', 'bureau_code': 25, 'bureau_name': 'Courts of Appeals, District Courts, and Other Judicial Services', '2019': 8215000, '2020': 8454000, '2021': 8492000, '2022': 8889000, '2023': 9361000, '2024': 10556000, 'name': 'Courts of Appeals, District Courts, and Other Judicial Services', 'id': '2-25'}"
/US FEDERAL GOVERNMENT/[budget] Judicial Branch (2)/[budget] United States Court of Appeals for the Federal Circuit (2-7),[budget] United States Court of Appeals for the Federal Circuit (2-7),"{'budget_level': 'bureau', 'agency_code': 2, 'agency_name': 'Judicial Branch', 'bureau_code': 7, 'bureau_name': 'United States Court of Appeals for the Federal Circuit', '2019': 34000, '2020': 37000, '2021': 35000, '2022': 33000, '2023': 41000, '2024': 44000, 'name': 'United States Court of Appeals for the Federal Circuit', 'id': '2-7'}"
/US FEDERAL GOVERNMENT/[budget] Judicial Branch (2)/[budget] Administrative Office of the United States Courts (2-26),[budget] Administrative Office of the United States Courts (2-26),"{'budget_level': 'bureau', 'agency_code': 2, 'agency_name': 'Judicial Branch', 'bureau_code': 26, 'bureau_name': 'Administrative Office of the United States Courts', '2019': 90000, '2020': 97000, '2021': 96000, '2022': 113000, '2023': 103000, '2024': 115000, 'name': 'Administrative Office of the United States Courts', 'id': '2-26'}"
/US FEDERAL GOVERNMENT/[budget] Judicial Branch (2)/[budget] Judicial Retirement Funds (2-35),[budget] Judicial Retirement Funds (2-35),"{'budget_level': 'bureau', 'agency_code': 2, 'agency_name': 'Judicial Branch', 'bureau_code': 35, 'bureau_name': 'Judicial Retirement Funds', '2019': 151000, '2020': 157000, '2021': 166000, '2022': 233000, '2023': 178000, '2024': 186000, 'name': 'Judicial Retirement Funds', 'id': '2-35'}"
/US FEDERAL GOVERNMENT/[budget] General Services Administration (23),[budget] General Services Administration (23),"{'budget_level': 'agency', 'agency_code': 23, 'agency_name': 'General Services Administration', '2019': -1100000, '2020': -268000, '2021': -1270000, '2022': -1203000, '2023': 2339000, '2024': 252000, 'name': 'General Services Administration', 'id': '23'}"
/US FEDERAL GOVERNMENT/[budget] General Services Administration (23)/[budget] Real Property Activities (23-5),[budget] Real Property Activities (23-5),"{'budget_level': 'bureau', 'agency_code': 23, 'agency_name': 'General Services Administration', 'bureau_code': 5, 'bureau_name': 'Real Property Activities', '2019': -997000, '2020': -317000, '2021': -963000, '2022': -982000, '2023': 230000, '2024': 538000, 'name': 'Real Property Activities', 'id': '23-5'}"
/US FEDERAL GOVERNMENT/[budget] General Services Administration (23)/[budget] General Activities (23-30),[budget] General Activities (23-30),"{'budget_level': 'bureau', 'agency_code': 23, 'agency_name': 'General Services Administration', 'bureau_code': 30, 'bureau_name': 'General Activities', '2019': 238000, '2020': 246000, '2021': 279000, '2022': 286000, '2023': 430000, '2024': 435000, 'name': 'General Activities', 'id': '23-30'}"
